公司编号,职位名称,职位链接,薪资待遇,工作地点,工作经验,最低学历,招聘人数,公司规模
2271979,红星美凯龙汶水家具店诚聘销售精英,http://sh.ganji.com/zpshichangyingxiao/1498924201x.htm,面议,宝山-大场,不限,不限,5人,100-499人
2271979,徐汇盛源实木家具高薪诚聘店面经理,http://sh.ganji.com/zpshichangyingxiao/1499951275x.htm,面议,徐汇-万体馆,不限,不限,5人,100-499人
2271979,盛源大地沙克家具高薪诚聘店面经理,http://sh.ganji.com/zpshichangyingxiao/1499955460x.htm,面议,徐汇-万体馆,不限,不限,5人,100-499人
2271979,红星美凯龙浦东家具店高薪诚聘销售精英,http://sh.ganji.com/zpshichangyingxiao/1499715937x.htm,面议,浦东-北蔡,不限,不限,5人,100-499人
2271979,柏森系列家具诚聘销售精英底薪+高提点,http://sh.ganji.com/zpshichangyingxiao/1499644636x.htm,面议,浦东-北蔡,不限,不限,5人,100-499人
17027413,一手房销售精英+佣金日结+住宿,http://sh.ganji.com/zpshichangyingxiao/1091592656x.htm,面议,宝山,不限,不限,15人,1000-9999人
28293853,心有多大舞台多大底薪5千月收入万元,http://sh.ganji.com/zpshichangyingxiao/1431221340x.htm,5000-8000元,嘉定-江桥,不限,不限,5人,20-99人
28293853,出来就是赚钱的底薪5千月入万元,http://sh.ganji.com/zpshichangyingxiao/1437906268x.htm,5000-8000元,嘉定-江桥,不限,不限,5人,20-99人
25521258,高底薪好晋升空间临近地铁聘销售,http://sh.ganji.com/zpshichangyingxiao/1716721718x.htm,5000-8000元,徐汇-肇嘉浜路,1-3年,中专/技校,50人,100-499人
25521258,（高薪诚聘急聘1W加金）金融客户经理,http://sh.ganji.com/zpshichangyingxiao/1716718934x.htm,12000-20000元,徐汇-肇嘉浜路,1-3年,高中,20人,100-499人
22109982,大客户经理,http://sh.ganji.com/zpshichangyingxiao/851042809x.htm,8000-12000元,闵行-龙柏金汇,3-5年,高中,2人,500-999人
25521258,（高薪诚聘5K提成）金融理财电话销售,http://sh.ganji.com/zpshichangyingxiao/1716638690x.htm,5000-8000元,徐汇-肇嘉浜路,1-3年,中专/技校,50人,100-499人
25521258,（高薪诚聘急聘1W加金）金融客户经理,http://sh.ganji.com/zpshichangyingxiao/1716708572x.htm,12000-20000元,徐汇-肇嘉浜路,1-3年,高中,20人,100-499人
25521258,（高薪诚聘5K提成）金融理财销售,http://sh.ganji.com/zpshichangyingxiao/1588219645x.htm,5000-8000元,徐汇-肇嘉浜路,1-3年,中专/技校,50人,100-499人
22109982,销售助理,http://sh.ganji.com/zpshichangyingxiao/851128227x.htm,5000-8000元,闵行-龙柏金汇,1-3年,高中,2人,500-999人
22109982,销售主管/经理,http://sh.ganji.com/zpshichangyingxiao/851132781x.htm,8000-12000元,闵行-龙柏金汇,3-5年,高中,2人,500-999人
22109982,团购业务员,http://sh.ganji.com/zpshichangyingxiao/851063199x.htm,3000-5000元,闵行-龙柏金汇,1-3年,高中,5人,500-999人
22109982,销售总经理/总监,http://sh.ganji.com/zpshichangyingxiao/850670138x.htm,12000-20000元,闵行-龙柏金汇,3-5年,大专,2人,500-999人
22109982,销售助理,http://sh.ganji.com/zpshichangyingxiao/851213676x.htm,3000-5000元,闵行-龙柏金汇,1-3年,高中,2人,500-999人
22109982,区域主管/渠道经理,http://sh.ganji.com/zpshichangyingxiao/851196463x.htm,8000-12000元,闵行-龙柏金汇,3-5年,大专,1人,500-999人
22109982,销售主管/经理,http://sh.ganji.com/zpshichangyingxiao/851072126x.htm,8000-12000元,闵行-龙柏金汇,1-3年,高中,2人,500-999人
22109982,销售助理,http://sh.ganji.com/zpshichangyingxiao/851603707x.htm,3000-5000元,闵行-龙柏金汇,1-3年,不限,2人,500-999人
22109982,销售代表/客户经理,http://sh.ganji.com/zpshichangyingxiao/852427498x.htm,12000-20000元,闵行-龙柏金汇,1-3年,不限,2人,500-999人
22109982,销售主管,http://sh.ganji.com/zpshichangyingxiao/1151392041x.htm,20000元以上,闵行-龙柏金汇,不限,大专,2人,500-999人
22109982,销售助理,http://sh.ganji.com/zpshichangyingxiao/1262690153x.htm,5000-8000元,闵行-龙柏金汇,1-3年,不限,2人,500-999人
22109982,销售代表/客户经理,http://sh.ganji.com/zpshichangyingxiao/851130462x.htm,8000-12000元,闵行-龙柏金汇,1-3年,高中,2人,500-999人
27482095,销售代表 （底薪3500-4000）,http://sh.ganji.com/zpshichangyingxiao/1230312594x.htm,5000-8000元,浦东-川沙,不限,不限,10人,100-499人
27482095,贵金属理财顾问月薪过万,http://sh.ganji.com/zpshichangyingxiao/1237987744x.htm,8000-12000元,浦东-川沙,不限,不限,10人,100-499人
27482095,急聘销售代表高底薪+双休,http://sh.ganji.com/zpshichangyingxiao/1245750185x.htm,5000-8000元,浦东-川沙,不限,不限,10人,100-499人
27482095,高薪急聘贵金属理财精英,http://sh.ganji.com/zpshichangyingxiao/1245750845x.htm,5000-8000元,浦东-川沙,不限,不限,10人,100-499人
